title,author,length,rating
Atomic Habits, James Clear, 5 hrs and 35 mins,5 out of 5 stars
Rich Dad Poor Dad, Robert T. Kiyosaki, 6 hrs and 9 mins,4.5 out of 5 stars
The Psychology of Money, Morgan Housel, 5 hrs and 48 mins,4.5 out of 5 stars
Let's Talk Mutual Funds, Monika Halan, 7 hrs and 5 mins,5 out of 5 stars
Ikigai," Héctor García, Francesc Miralles", 3 hrs and 23 mins,4.5 out of 5 stars
The Subtle Art of Not Giving a F*ck, Mark Manson, 5 hrs and 17 mins,4.5 out of 5 stars
Sapiens, Yuval Noah Harari, 15 hrs and 18 mins,5 out of 5 stars
Energize Your Mind, Gaur Gopal Das, 10 hrs and 20 mins,5 out of 5 stars
American Prometheus," Kai Bird, Martin J. Sherwin", 26 hrs and 30 mins,5 out of 5 stars
How to Talk to Anyone, Leil Lowndes, 8 hrs and 59 mins,4.5 out of 5 stars
"Thinking, Fast and Slow", Daniel Kahneman, 20 hrs,4.5 out of 5 stars
Can't Hurt Me, David Goggins, 13 hrs and 37 mins,5 out of 5 stars
The Bhagavad Gita, Eknath Easwaran, 8 hrs and 54 mins,4.5 out of 5 stars
The Power of Your Subconscious Mind, Joseph Murphy, 7 hrs and 13 mins,4.5 out of 5 stars
Hyperfocus, Chris Bailey, 6 hrs and 39 mins,4.5 out of 5 stars
The Intelligent Investor Rev Ed., Benjamin Graham, 17 hrs and 48 mins,4.5 out of 5 stars
The Courage to Be Disliked ," Fumitake Koga, Ichiro Kishimi", 6 hrs and 50 mins,4.5 out of 5 stars
Doglapan, Ashneer Grover, 6 hrs and 30 mins,4.5 out of 5 stars
Mahabharat, Sadhguru, 20 hrs and 42 mins,5 out of 5 stars
The Almanack of Naval Ravikant," Eric Jorgenson, Tim Ferriss", 4 hrs and 53 mins,4.5 out of 5 stars
